product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url,product_url
geiger:leeway_stool,geiger,leeway stool,leeway_stool,,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/l/leeway_stools/leeway_stool_counter_height_wood_seat/GGR_Leeway_Stool_Counter_Height_Wood_Seat_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/leeway-stool-counter-height-wood-seat/
herman_miller:aeron_chairs,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/a/aeron_chairs/aeron_chair_c_size_height_adjustable_arms/HMI_Aeron_Chair_C_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/aeron-chair-c-size-height-adjustable-arms/
herman_miller:caper_stacking_chair,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/c/caper_stacking_chairs/caper_stacking_chair_tablet_arm_right/HMI_Caper_Stacking_Chair_Tablet_Arm_Right_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/caper-stacking-chair-tablet-arm-right/
herman_miller:cosm_chairs,herman_miller,cosm chairs,cosm_chairs,,images/herman_miller/cosm_chairs/HMI_Cosm_Chair_High_Back_Leaf_Arms_mdl_c.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/c/cosm_chairs/cosm_chair_mid_back_leaf_arms/HMI_Cosm_Chair_Mid_Back_Leaf_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/cosm-chair-mid-back-leaf-arms/
herman_miller:eames_aluminum_group_chairs,herman_miller,eames aluminum group chairs,eames_aluminum_group_chairs,,images/herman_miller/eames_aluminum_group_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_aluminum_group_side_chairs/eames_aluminum_group_side_chair_with_arms/HMI_Eames_Aluminum_Group_Side_Chair_With_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-aluminum-group-side-chair-with-arms/
herman_miller:eames_coffee_table,herman_miller,eames coffee table,eames_coffee_table,,images/herman_miller/eames_coffee_table/mh_prd_tables.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_coffee_tables/eames_coffee_table_square/HMI_Eames_Coffee_Table_Square_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-coffee-table-square/
herman_miller:eames_lounge_chair_and_ottoman,herman_miller,eames lounge chair and ottoman,eames_lounge_chair_and_ottoman,,images/herman_miller/eames_lounge_chair_and_ottoman/th_prd_swoop_lounge_furniture_side_chairs_fn.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_ottoman/eames_ottoman/HMI_Eames_Ottoman_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-ottoman/
herman_miller:eames_molded_fiberglass_chairs,herman_miller,eames molded fiberglass chairs,eames_molded_fiberglass_chairs,,images/herman_miller/eames_molded_fiberglass_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_molded_fiberglass_side_chairs/eames_molded_fiberglass_side_chair_wire_base_upholstered_seat_pad/HMI_Eames_Molded_Fiberglass_Side_Chair_Wire_Base_Upholstered_Seat_Pad_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-molded-fiberglass-side-chair-wire-base-upholstered-seat-pad/
herman_miller:eames_molded_plastic_chairs,herman_miller,eames molded plastic chairs,eames_molded_plastic_chairs,,images/herman_miller/eames_molded_plastic_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_molded_plastic_side_chairs/eames_molded_plastic_side_chair_wire_base_upholstered_seat_pad/HMI_Eames_Molded_Plastic_Side_Chair_Wire_Base_Upholstered_Seat_Pad_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-molded-plastic-side-chair-wire-base-upholstered-seat-pad/
herman_miller:eames_molded_plywood_chairs,herman_miller,eames molded plywood chairs,eames_molded_plywood_chairs,,images/herman_miller/eames_molded_plywood_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/e/eames_molded_plywood_lounge_chairs/eames_molded_plywood_lounge_chair_wood_base_upholstered/HMI_Eames_Molded_Plywood_Lounge_Chair_Wood_Base_Upholstered_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/eames-molded-plywood-lounge-chair-wood-base-upholstered/
