sha256,product_uid,variant,file_type,furniture_type,subtype,tags_csv,brand,name
0e58bd1662a70235f874eab9231bd9d5dc3973fbd614d03e6be812c6b451fb26,geiger:leeway_stool,leeway_stool_bar_height_polyurethane_seat,autocad_3d,Stool,,,geiger,leeway stool
243b1ab9318abd8525322743fd94dcdb56691cda758b1548bbec96825bb955db,geiger:leeway_stool,leeway_stool_bar_height_polyurethane_seat,sketchup,Stool,,,geiger,leeway stool
1deb8f0c9078e28abdf3b09cb2f4a5580c3a5a3dfd9b39ebef4201c3a21e4786,geiger:leeway_stool,leeway_stool_counter_height_wood_seat,revit,Stool,,,geiger,leeway stool
d06b0c08050e30e583daef9c185ec2c0cc09f09a1ad446562ef5ecd4e3ce25a8,geiger:leeway_stool,leeway_stool_bar_height_upholstered_seat,autocad_3d,Stool,,,geiger,leeway stool
5bc0190c729c0ac13fbe57f9ef0943d52134178d88701044388c2685bdc88d38,geiger:leeway_stool,leeway_stool_bar_height_upholstered_seat,sketchup,Stool,,,geiger,leeway stool
0096d8d9ea0a6521e097a4ce7e2824b4791da5e3007b08cfb9fcedd0d15310a0,geiger:leeway_stool,leeway_stool_bar_height_wood_seat,autocad_3d,Stool,,,geiger,leeway stool
d8f947b35916d8099be2a45d5cbe476bd6ed483b3e58b490c3271f7f9176ddd4,geiger:leeway_stool,leeway_stool_bar_height_wood_seat,sketchup,Stool,,,geiger,leeway stool
da0a3b77222641b974bfc2bb8be0592e246e3e29407cebb0d447e4352e2f8cbd,geiger:leeway_stool,leeway_stool_counter_height_polyurethane_seat,autocad_3d,Stool,,,geiger,leeway stool
f2d957927dba1026223bce8d9f463ddfff722ce920efd01ef43e3daf0aa9f1b5,geiger:leeway_stool,leeway_stool_counter_height_polyurethane_seat,sketchup,Stool,,,geiger,leeway stool
d71c0309564c148d7d7a40012791eed14e3250dce3090f2ff1fa6c6804820f48,geiger:leeway_stool,leeway_stool_counter_height_upholstered_seat,autocad_3d,Stool,,,geiger,leeway stool
be5e65fd158fd30abc8d7f6db28d82c86176397dadd901064bcf6fa39c8803f1,geiger:leeway_stool,leeway_stool_counter_height_upholstered_seat,sketchup,Stool,,,geiger,leeway stool
5f0f0940f43a7f068d4ce1b3fd714f43b71239dd118a567de1d8711b0671b68d,geiger:leeway_stool,leeway_stool_counter_height_wood_seat,autocad_3d,Stool,,,geiger,leeway stool
b3eb645533545c46049ddcd3ed6353a2517bc6a3facb30ab649c9e87b6aa8996,geiger:leeway_stool,leeway_stool_counter_height_wood_seat,sketchup,Stool,,,geiger,leeway stool
387fcc5b3e269a986d374974b409ee0ff939a60bd757b1e9993a9863a5f1fc6f,herman_miller:aeron_chairs,aeron_chair_a_size_armless,autocad_3d,Chair,,,herman_miller,aeron chairs
20ff764ce7cb8bc0e7aa448a501302be87e76801b8b5b4c50bebfb407b32cd78,herman_miller:aeron_chairs,aeron_chair_a_size_armless,sketchup,Chair,,,herman_miller,aeron chairs
1cd862c95d76cdbdc839a40fd019c662fe370f1fdea16e5f634eaabf1e74c94a,herman_miller:aeron_chairs,aeron_chair_a_size_height_adjustable_arms,revit,Chair,,,herman_miller,aeron chairs
74f54e7331585e103f37d7161f6e05c8554815e6f17334e8fb26bcf2627e9b51,herman_miller:aeron_chairs,aeron_chair_a_size_fixed_arms,autocad_3d,Chair,,,herman_miller,aeron chairs
a753071117255ffabcc53382624f5435bcc4812466d0e0e1e8d9a2d0239bbf4d,herman_miller:aeron_chairs,aeron_chair_a_size_fixed_arms,sketchup,Chair,,,herman_miller,aeron chairs
6a22a24396866674c295761fd72e35edbdc4f5bc32bd62a5699d909feda5be90,herman_miller:aeron_chairs,aeron_chair_a_size_height_adjustable_arms,autocad_3d,Chair,,,herman_miller,aeron chairs
