product_uid,brand,name,slug,category,total_files,revit_count,sketchup_count,autocad_3d_count,autocad_2d_count,autocad_count,sif_count
geiger:leeway_stool,geiger,leeway stool,leeway_stool,,13,1,6,6,0,0,0
herman_miller:aeron_chairs,herman_miller,aeron chairs,aeron_chairs,,24,3,12,9,0,0,0
herman_miller:caper_stacking_chair,herman_miller,caper stacking chair,caper_stacking_chair,,10,2,4,4,0,0,0
herman_miller:cosm_chairs,herman_miller,cosm chairs,cosm_chairs,,25,1,12,12,0,0,0
herman_miller:eames_aluminum_group_chairs,herman_miller,eames aluminum group chairs,eames_aluminum_group_chairs,,19,5,7,7,0,0,0
herman_miller:eames_coffee_table,herman_miller,eames coffee table,eames_coffee_table,,5,1,2,2,0,0,0
herman_miller:eames_lounge_chair_and_ottoman,herman_miller,eames lounge chair and ottoman,eames_lounge_chair_and_ottoman,,8,2,3,3,0,0,0
herman_miller:eames_molded_fiberglass_chairs,herman_miller,eames molded fiberglass chairs,eames_molded_fiberglass_chairs,,42,4,19,19,0,0,0
herman_miller:eames_molded_plastic_chairs,herman_miller,eames molded plastic chairs,eames_molded_plastic_chairs,,51,7,22,22,0,0,0
herman_miller:eames_molded_plywood_chairs,herman_miller,eames molded plywood chairs,eames_molded_plywood_chairs,,20,4,8,8,0,0,0
herman_miller:eames_soft_pad_chairs,herman_miller,eames soft pad chairs,eames_soft_pad_chairs,,19,5,7,7,0,0,0
herman_miller:eames_tables,herman_miller,eames tables,eames_tables,,20,18,1,1,0,0,0
herman_miller:ello_micro_power_access,herman_miller,ello micro power access,ello_micro_power_access,,3,1,1,1,0,0,0
herman_miller:ello_mini_power_access,herman_miller,ello mini power access,ello_mini_power_access,,5,1,2,2,0,0,0
herman_miller:everywhere_tables,herman_miller,everywhere tables,everywhere_tables,,121,68,25,28,0,0,0
herman_miller:girard_flower_table,herman_miller,girard flower table,girard_flower_table,,3,1,1,1,0,0,0
herman_miller:girard_stool,herman_miller,girard stool,girard_stool,,3,1,1,1,0,0,0
herman_miller:mirra_2_chairs,herman_miller,mirra 2 chairs,mirra_2_chairs,,11,1,6,4,0,0,0
herman_miller:mirra_2_stool,herman_miller,mirra 2 stool,mirra_2_stool,,3,1,1,1,0,0,0
herman_miller:motia_sit_to_stand_tables,herman_miller,motia sit to stand tables,motia_sit_to_stand_tables,,34,26,4,4,0,0,0
herman_miller:oe1_communal_tables,herman_miller,oe1 communal tables,oe1_communal_tables,,3,1,1,1,0,0,0
herman_miller:oe1_mobile_easel,herman_miller,oe1 mobile easel,oe1_mobile_easel,,3,1,1,1,0,0,0
herman_miller:oe1_sit_to_stand_table,herman_miller,oe1 sit to stand table,oe1_sit_to_stand_table,,6,2,2,2,0,0,0
herman_miller:product_models,herman_miller,product models,product_models,,5,2,1,1,1,0,0
herman_miller:renew_sit_to_stand_tables,herman_miller,renew sit to stand tables,renew_sit_to_stand_tables,,35,23,6,6,0,0,0
herman_miller:rohde_easy_chair,herman_miller,rohde easy chair,rohde_easy_chair,,3,1,1,1,0,0,0
herman_miller:rohde_paldao_table,herman_miller,rohde paldao table,rohde_paldao_table,,8,2,3,3,0,0,0
herman_miller:sayl_chairs,herman_miller,sayl chairs,sayl_chairs,,21,3,12,6,0,0,0
herman_miller:spout_sit_to_stand_table,herman_miller,spout sit to stand table,spout_sit_to_stand_table,,3,1,1,1,0,0,0
herman_miller:striad_sofas,herman_miller,striad sofas,striad_sofas,,2,1,0,1,0,0,0
herman_miller:verus_chairs,herman_miller,verus chairs,verus_chairs,,25,3,12,10,0,0,0
herman_miller:verus_side_chairs,herman_miller,verus side chairs,verus_side_chairs,,7,1,3,3,0,0,0
herman_miller:zeph_chair,herman_miller,zeph chair,zeph_chair,,5,1,2,2,0,0,0
herman_miller:zeph_stool,herman_miller,zeph stool,zeph_stool,,5,1,2,2,0,0,0
naughtone:knot_side_table,naughtone,knot side table,knot_side_table,,4,0,2,2,0,0,0
